YYYYMMDD	Cochlo_YN	type	Cell_min	Cell_max	LAT	LON
20130817	1	Cochlodinium polykrikoides	150	1300	36.49525765	129.4521017
20130817	1	Cochlodinium polykrikoides	500	13000	36.49525765	129.4521017
20130814	1	Cochlodinium polykrikoides	320	3000	36.58266014	129.4367761
20130822	1	Cochlodinium polykrikoides	30	300	36.65772625	129.4391077
20130814	1	Cochlodinium polykrikoides	410	5200	36.58266014	129.4367761
20130814	1	Cochlodinium polykrikoides	150	1500	36.58266014	129.4367761
20130817	1	Cochlodinium polykrikoides	200	6000	36.49525765	129.4521017
20130817	1	Cochlodinium polykrikoides	440	5400	36.49525765	129.4521017
20130814	1	Cochlodinium polykrikoides	300	17000	36.58266014	129.4367761
20130814	1	Cochlodinium polykrikoides	320	13480	36.58266014	129.4367761
20130818	1	Cochlodinium polykrikoides	50	500	36.71919152	129.5215768
20130818	1	Cochlodinium polykrikoides	440	3220	36.71919152	129.5215768
20130818	1	Cochlodinium polykrikoides	40	1750	36.71919152	129.5215768
20130818	0	Cochlodinium polykrikoides	0	0	36.71919152	129.5215768
20130818	1	Cochlodinium polykrikoides	100	1100	36.71919152	129.5215768
20130818	1	Cochlodinium polykrikoides	100	5600	36.71919152	129.5215768
20130811	1	Cochlodinium polykrikoides	500	10000	36.06587558	129.4939976
20130813	1	Cochlodinium polykrikoides	440	3510	36.30133936	129.395793
20130811	1	Cochlodinium polykrikoides	50	1500	36.06587558	129.4939976
20130812	1	Cochlodinium polykrikoides	200	10250	36.31870656	129.4009592
20130820	1	Cochlodinium polykrikoides	30	970	36.34885477	129.3967386
20130813	1	Cochlodinium polykrikoides	5000	20000	36.30133936	129.395793
20130812	1	Cochlodinium polykrikoides	950	4500	36.31870656	129.4009592
20130812	1	Cochlodinium polykrikoides	500	9200	36.31870656	129.4009592
20130811	1	Cochlodinium polykrikoides	50	980	36.06587558	129.4939976
20130812	1	Cochlodinium polykrikoides	1000	10000	36.31870656	129.4009592
20130813	1	Cochlodinium polykrikoides	3000	12000	36.30133936	129.395793
20130813	1	Cochlodinium polykrikoides	250	1020	36.30133936	129.395793
20130804	1	Cochlodinium polykrikoides	540	8000	36.11362684	129.4774459
20130804	1	Cochlodinium polykrikoides	540	20000	36.11362684	129.4774459
20130804	1	Cochlodinium polykrikoides	2010	8110	36.11362684	129.4774459
20130804	1	Cochlodinium polykrikoides	450	6500	36.11362684	129.4774459
20130812	1	Cochlodinium polykrikoides	2000	20000	36.31870656	129.4009592
20130811	1	Cochlodinium polykrikoides	500	8000	36.06587558	129.4939976
20130804	1	Cochlodinium polykrikoides	5500	18000	36.11362684	129.4774459
20130812	1	Cochlodinium polykrikoides	640	14700	36.31870656	129.4009592
20130813	1	Cochlodinium polykrikoides	120	6670	36.30133936	129.395793
20130811	1	Cochlodinium polykrikoides	580	6200	36.06587558	129.4939976
20130813	1	Cochlodinium polykrikoides	300	13000	36.30133936	129.395793
20130813	1	Cochlodinium polykrikoides	250	6000	36.30133936	129.395793
20130804	1	Cochlodinium polykrikoides	32	8000	36.11362684	129.4774459
20130804	1	Cochlodinium polykrikoides	10	1280	36.11362684	129.4774459
