발생날짜,조사해역,원인생물,생물밀도(max),생물밀도(min),수온(max),수온(min),속보코드
20180801,"경남 거제시 남부면, 동부면",Cochlodinium polykrikoides,1850,400,27.5,24.9,20180801-001
20180731,전남 여수시 화정면 ~ 남면 북부해역,Cochlodinium polykrikoides,700,10,28.2,24.8,20180731-006
20180731,전남 여수시 화정면 ~ 남면 북부해역,Cochlodinium polykrikoides,840,20,28.2,24.8,20180731-006
20180731,전남 여수시 화정면 ~ 남면 북부해역,Cochlodinium polykrikoides,700,200,28.2,24.8,20180731-006
20180731,전남 여수시 화정면 ~ 남면 북부해역,Cochlodinium polykrikoides,1600,80,28.2,24.8,20180731-006
20180731,전남 여수시 화정면 ~ 남면 북부해역,Cochlodinium polykrikoides,748,125,28.2,24.8,20180731-006
20180731,전남 고흥군 외나로도,Cochlodinium polykrikoides,700,10,27.4,26.6,20180731-006
20180731,전남 고흥군 외나로도,Cochlodinium polykrikoides,840,20,27.4,26.6,20180731-006
20180731,전남 고흥군 외나로도,Cochlodinium polykrikoides,700,200,27.4,26.6,20180731-006
20180731,전남 고흥군 외나로도,Cochlodinium polykrikoides,1600,80,27.4,26.6,20180731-006
20180731,전남 고흥군 외나로도,Cochlodinium polykrikoides,748,125,27.4,26.6,20180731-006
20180731,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,700,10,27.1,21.8,20180731-006
20180731,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,840,20,27.1,21.8,20180731-006
20180731,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,700,200,27.1,21.8,20180731-006
20180731,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,1600,80,27.1,21.8,20180731-006
20180731,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,748,125,27.1,21.8,20180731-006
20180731,"경남 고성군 삼산면, 하이면",Cochlodinium polykrikoides,700,10,27.1,26.1,20180731-006
20180731,"경남 고성군 삼산면, 하이면",Cochlodinium polykrikoides,840,20,27.1,26.1,20180731-006
20180731,"경남 고성군 삼산면, 하이면",Cochlodinium polykrikoides,700,200,27.1,26.1,20180731-006
20180731,"경남 고성군 삼산면, 하이면",Cochlodinium polykrikoides,1600,80,27.1,26.1,20180731-006
20180731,"경남 고성군 삼산면, 하이면",Cochlodinium polykrikoides,748,125,27.1,26.1,20180731-006
20180731,"경남 통영시 산양면, 욕지부근 해역",Cochlodinium polykrikoides,700,10,26.7,24.2,20180731-006
20180731,"경남 통영시 산양면, 욕지부근 해역",Cochlodinium polykrikoides,840,20,26.7,24.2,20180731-006
20180731,"경남 통영시 산양면, 욕지부근 해역",Cochlodinium polykrikoides,700,200,26.7,24.2,20180731-006
20180731,"경남 통영시 산양면, 욕지부근 해역",Cochlodinium polykrikoides,1600,80,26.7,24.2,20180731-006
20180731,"경남 통영시 산양면, 욕지부근 해역",Cochlodinium polykrikoides,748,125,26.7,24.2,20180731-006
20180730,전남 여수시 화정면 ~ 남면 북부해역,Cochlodinium polykrikoides,700,160,25.1,24.3,20180730-009
20180730,전남 여수시 화정면 ~ 남면 북부해역,Cochlodinium polykrikoides,3480,186,25.1,24.3,20180730-009
20180730,전남 여수시 화정면 ~ 남면 북부해역,Cochlodinium polykrikoides,700,10,25.1,24.3,20180730-009
20180730,"전남 보돌바다, 금오도 북서측",Cochlodinium polykrikoides,700,160,26.7,23.9,20180730-009
20180730,"전남 보돌바다, 금오도 북서측",Cochlodinium polykrikoides,3480,186,26.7,23.9,20180730-009
20180730,"전남 보돌바다, 금오도 북서측",Cochlodinium polykrikoides,700,10,26.7,23.9,20180730-009
20180730,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,700,160,27.5,22.5,20180730-009
20180730,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,3480,186,27.5,22.5,20180730-009
20180730,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,700,10,27.5,22.5,20180730-009
20180730,전남 여수시 남면 ~ 월호수도 ~ 화태,Cochlodinium polykrikoides,3400,12,25.9,23.6,20180730-006
20180730,전남 여수시 남면 ~ 월호수도 ~ 화태,Cochlodinium polykrikoides,380,50,25.9,23.6,20180730-006
20180730,전남 보돌바다,Cochlodinium polykrikoides,3400,12,29.4,24.4,20180730-006
20180730,전남 보돌바다,Cochlodinium polykrikoides,380,50,29.4,24.4,20180730-006
20180729,전남 여수시 화정면 ~ 남면 북부해역,Cochlodinium polykrikoides,850,200,28.6,24.5,20180729-001
20180729,전남 여수시 화정면 ~ 남면 북부해역,Cochlodinium polykrikoides,2500,80,28.6,24.5,20180729-001
20180729,전남 여수시 화정면 ~ 남면 북부해역,Cochlodinium polykrikoides,920,30,28.6,24.5,20180729-001
20180729,"전남 고흥군 포두면 ~ 동일면, 보돌바다",Cochlodinium polykrikoides,850,200,28.5,24.2,20180729-001
20180729,"전남 고흥군 포두면 ~ 동일면, 보돌바다",Cochlodinium polykrikoides,2500,80,28.5,24.2,20180729-001
20180729,"전남 고흥군 포두면 ~ 동일면, 보돌바다",Cochlodinium polykrikoides,920,30,28.5,24.2,20180729-001
20180729,경남 남해군 남면 ~ 서면,Cochlodinium polykrikoides,850,200,25.7,25.7,20180729-001
20180729,경남 남해군 남면 ~ 서면,Cochlodinium polykrikoides,2500,80,25.7,25.7,20180729-001
20180729,경남 남해군 남면 ~ 서면,Cochlodinium polykrikoides,920,30,25.7,25.7,20180729-001
20180728,전남 여수시 남면∼월호수도~화태,Cochlodinium polykrikoides,3400,12,25.9,23.6,20180728-001
20180728,전남 여수시 남면∼월호수도~화태,Cochlodinium polykrikoides,380,50,25.9,23.6,20180728-001
20180728,전남 보돌바다 ,Cochlodinium polykrikoides,3400,12,29.4,24.4,20180728-001
20180728,전남 보돌바다 ,Cochlodinium polykrikoides,380,50,29.4,24.4,20180728-001
20180727,전남 여수시 화정면~남면~돌산도,Cochlodinium polykrikoides,300,150,31,24.5,20180727-001
20180727,전남 여수시 화정면~남면~돌산도,Cochlodinium polykrikoides,4500,60,31,24.5,20180727-001
20180727,전남 여수시 화정면~남면~돌산도,Cochlodinium polykrikoides,950,60,31,24.5,20180727-001
20180727,전남 보돌바다,Cochlodinium polykrikoides,300,150,30.4,24.3,20180727-001
20180727,전남 보돌바다,Cochlodinium polykrikoides,4500,60,30.4,24.3,20180727-001
20180727,전남 보돌바다,Cochlodinium polykrikoides,950,60,30.4,24.3,20180727-001
20180727,"경남 남해군 상주면 노도, 유구",Cochlodinium polykrikoides,300,150,27.6,24.6,20180727-001
20180727,"경남 남해군 상주면 노도, 유구",Cochlodinium polykrikoides,4500,60,27.6,24.6,20180727-001
20180727,"경남 남해군 상주면 노도, 유구",Cochlodinium polykrikoides,950,60,27.6,24.6,20180727-001
